#,Title,Difficulty,Max Frequency Score,Acceptance Rate,Topics,LeetCode Link
59,Sort Colors,MEDIUM,50.0,0.675831142046278,"Array, Two Pointers, Sorting",Solve Problem
60,Maximum Subarray,MEDIUM,50.0,0.5209977640581438,"Array, Divide and Conquer, Dynamic Programming",Solve Problem
61,Valid Sudoku,MEDIUM,50.0,0.6227675793740958,"Array, Hash Table, Matrix",Solve Problem
62,"Pow(x, n)",MEDIUM,47.2,0.370231906887774,"Math, Recursion",Solve Problem
63,Search in Rotated Sorted Array,MEDIUM,47.2,0.4283721632586699,"Array, Binary Search",Solve Problem
64,Construct Binary Tree from Preorder and Inorder Traversal,MEDIUM,46.1,0.6683774773521286,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",Solve Problem
65,Divide Two Integers,MEDIUM,46.1,0.1839697508503305,"Math, Bit Manipulation",Solve Problem
66,Subsets,MEDIUM,46.1,0.8087956878508169,"Array, Backtracking, Bit Manipulation",Solve Problem
67,Swap Nodes in Pairs,MEDIUM,43.8,0.6720136828647639,"Linked List, Recursion",Solve Problem
68,Reverse Linked List II,MEDIUM,43.8,0.495917143135072,Linked List,Solve Problem
69,String to Integer (atoi),MEDIUM,42.9,0.1922941979541227,String,Solve Problem
70,Binary Tree Zigzag Level Order Traversal,MEDIUM,42.9,0.6168283891746636,"Tree, Breadth-First Search, Binary Tree",Solve Problem
71,4Sum,MEDIUM,41.2,0.3821900891354193,"Array, Two Pointers, Sorting",Solve Problem
72,3Sum Closest,MEDIUM,41.2,0.468869600214817,"Array, Two Pointers, Sorting",Solve Problem
73,Zigzag Conversion,MEDIUM,41.2,0.5160678115303926,String,Solve Problem
74,Partition List,MEDIUM,40.3,0.5898677373641946,"Linked List, Two Pointers",Solve Problem
75,Remove Nth Node From End of List,MEDIUM,40.3,0.4896105904273307,"Linked List, Two Pointers",Solve Problem
76,Insert Interval,MEDIUM,38.3,0.4347364546603863,Array,Solve Problem
77,Word Search,MEDIUM,34.8,0.4526693801123823,"Array, String, Backtracking, Depth-First Search, Matrix",Solve Problem
78,Search a 2D Matrix,MEDIUM,33.9,0.5228958306958686,"Array, Binary Search, Matrix",Solve Problem
79,Combinations,MEDIUM,30.6,0.728964998447839,Backtracking,Solve Problem
80,Spiral Matrix II,MEDIUM,30.6,0.734312719680276,"Array, Matrix, Simulation",Solve Problem
81,Search in Rotated Sorted Array II,MEDIUM,30.6,0.3887964488253302,"Array, Binary Search",Solve Problem
82,Rotate List,MEDIUM,30.6,0.3994476663735721,"Linked List, Two Pointers",Solve Problem
83,Validate Binary Search Tree,MEDIUM,30.6,0.3438040355108531,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",Solve Problem
84,Edit Distance,MEDIUM,30.6,0.5878978269295445,"String, Dynamic Programming",Solve Problem
85,Unique Paths II,MEDIUM,30.6,0.4315438505851779,"Array, Dynamic Programming, Matrix",Solve Problem
86,Simplify Path,MEDIUM,25.2,0.4785434600375143,"String, Stack",Solve Problem
87,Count and Say,MEDIUM,25.2,0.6050656775612677,String,Solve Problem
88,Restore IP Addresses,MEDIUM,24.4,0.531583393083398,"String, Backtracking",Solve Problem
89,Remove Duplicates from Sorted List II,MEDIUM,24.4,0.4989080936318432,"Linked List, Two Pointers",Solve Problem
90,Permutations II,MEDIUM,24.4,0.615917727605333,"Array, Backtracking, Sorting",Solve Problem
91,Subsets II,MEDIUM,18.2,0.595072748658621,"Array, Backtracking, Bit Manipulation",Solve Problem
92,Unique Binary Search Trees,MEDIUM,18.2,0.6244520536210353,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree",Solve Problem
93,Multiply Strings,MEDIUM,18.2,0.4228943914738829,"Math, String, Simulation",Solve Problem
94,Construct Binary Tree from Inorder and Postorder Traversal,MEDIUM,18.2,0.6608200104533679,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",Solve Problem
95,Combination Sum,MEDIUM,18.2,0.7467468656021409,"Array, Backtracking",Solve Problem
96,Binary Tree Level Order Traversal,MEDIUM,17.4,0.7059657203049214,"Tree, Breadth-First Search, Binary Tree",Solve Problem
97,Longest Increasing Path in a Matrix,HARD,91.1,0.5534762586302827,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix",Solve Problem
98,Word Ladder,HARD,78.7,0.4281182673737007,"Hash Table, String, Breadth-First Search",Solve Problem
99,Minimum Window Substring,HARD,78.7,0.4535074763823223,"Hash Table, String, Sliding Window",Solve Problem
100,Median of Two Sorted Arrays,HARD,77.0,0.4381460348224133,"Array, Binary Search, Divide and Conquer",Solve Problem
101,Trapping Rain Water,HARD,73.2,0.6510194577693873,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",Solve Problem
102,Merge k Sorted Lists,HARD,50.0,0.5677420052593406,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",Solve Problem
103,First Missing Positive,HARD,49.0,0.4108465766394882,"Array, Hash Table",Solve Problem
104,Largest Rectangle in Histogram,HARD,43.8,0.4737769446459488,"Array, Stack, Monotonic Stack",Solve Problem
105,Reverse Nodes in k-Group,HARD,43.8,0.630436472551844,"Linked List, Recursion",Solve Problem
106,Wildcard Matching,HARD,41.2,0.2989832621421184,"String, Dynamic Programming, Greedy, Recursion",Solve Problem
107,Sudoku Solver,HARD,38.3,0.6390866531877745,"Array, Hash Table, Backtracking, Matrix",Solve Problem
108,Text Justification,HARD,34.8,0.4814993566410409,"Array, String, Simulation",Solve Problem
109,Longest Valid Parentheses,HARD,34.8,0.3631311456770452,"String, Dynamic Programming, Stack",Solve Problem
110,Substring with Concatenation of All Words,HARD,30.6,0.3299749970274807,"Hash Table, String, Sliding Window",Solve Problem
111,Permutation Sequence,HARD,30.6,0.4994329004732563,"Math, Recursion",Solve Problem
112,N-Queens,HARD,25.2,0.7281704967757537,"Array, Backtracking",Solve Problem
113,Maximal Rectangle,HARD,18.2,0.5370845822665518,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",Solve Problem
